stime,ltime,dur,mean,sum,min,max,spkts,dpkts,sbytes,dbytes,sttl,dttl,sload,srate,drate,stcpb,dtcpb,tcprtt,synack,ackdat,label
1663634594.884925,1663634594.884925,0.000000,0,0,0,0,0,1,0,74,64,64,0,0,0,0,0,0,0,0,normal
1663634594.885493,1663634594.885694,0.000201,0.000201,0.000201,0.000201,0.000201,1,1,84,132,64,64,0,0,0,0,0,0,0,0,normal
1663634594.885533,1663634594.885768,0.000235,0.000235,0.000235,0.000235,0.000235,1,1,84,132,64,64,0,0,0,0,0,0,0,0,normal
1663634594.886679,1663634599.890702,5.004023,5.004023,5.004023,5.004023,5.004023,2,0,162,0,64,0,129.495804,0.199839,0,0,0,0,0,0,normal
1663634594.886821,1663634599.890779,5.003958,5.003958,5.003958,5.003958,5.003958,2,0,162,0,64,0,129.497482,0.199842,0,0,0,0,0,0,normal
1663634594.887152,1663634599.887245,5.000093,5.000093,5.000093,5.000093,5.000093,4,0,168,0,0,0,201.596252,0.599989,0,0,0,0,0,0,normal
1663634598.168734,1663634603.160891,4.992157,4.992157,4.992157,4.992157,4.992157,4,0,240,0,0,0,288.452454,0.600943,0,0,0,0,0,0,attack
1663634599.895582,1663634599.896015,0.000433,0.000433,0.000433,0.000433,0.000433,1,1,42,60,0,0,0,0,0,0,0,0,0,0,normal
1663634600.883542,1663634601.883613,1.000071,1.000071,1.000071,1.000071,1.000071,2,0,84,0,0,0,335.976135,0.999929,0,0,0,0,0,0,normal
1663634604.185002,1663634609.176727,4.991725,4.991725,4.991725,4.991725,4.991725,4,0,240,0,0,0,288.477417,0.600995,0,0,0,0,0,0,attack
1663634604.887330,1663634604.887330,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634604.887419,1663634604.887419,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634604.888014,1663634604.888135,0.000121,0.000121,0.000121,0.000121,0.000121,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634604.888043,1663634604.888198,0.000155,0.000155,0.000155,0.000155,0.000155,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634612.154380,1663634617.159711,5.005331,5.005331,5.005331,5.005331,5.005331,4,0,240,0,0,0,287.693268,0.599361,0,0,0,0,0,0,attack
1663634618.168733,1663634623.192779,5.024046,5.024046,5.024046,5.024046,5.024046,4,0,240,0,0,0,286.621582,0.597128,0,0,0,0,0,0,attack
1663634621.877783,1663634626.883079,5.005296,5.005296,5.005296,5.005296,5.005296,2,0,162,0,64,0,129.46286,0.199788,0,0,0,0,0,0,normal
1663634621.877822,1663634626.883104,5.005282,5.005282,5.005282,5.005282,5.005282,2,0,162,0,64,0,129.463242,0.199789,0,0,0,0,0,0,normal
1663634621.878230,1663634626.878397,5.000167,5.000167,5.000167,5.000167,5.000167,4,0,168,0,0,0,201.593277,0.59998,0,0,0,0,0,0,normal
1663634624.216651,1663634629.208734,4.992083,4.992083,4.992083,4.992083,4.992083,4,0,240,0,0,0,288.456726,0.600952,0,0,0,0,0,0,attack
1663634627.070572,1663634627.070584,0.000012,0.000012,0.000012,0.000012,0.000012,1,1,60,42,0,0,0,0,0,0,0,0,0,0,normal
1663634627.875561,1663634632.879544,5.003983,5.003983,5.003983,5.003983,5.003983,4,0,168,0,0,0,201.439529,0.599522,0,0,0,0,0,0,normal
1663634631.878184,1663634631.878184,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634631.878251,1663634631.878251,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634631.878789,1663634631.879003,0.000214,0.000214,0.000214,0.000214,0.000214,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634631.878857,1663634631.878952,0.000095,0.000095,0.000095,0.000095,0.000095,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634631.879613,1663634636.885085,5.005472,5.005472,5.005472,5.005472,5.005472,2,0,162,0,64,0,129.458313,0.199781,0,0,0,0,0,0,normal
1663634631.879817,1663634636.885119,5.005302,5.005302,5.005302,5.005302,5.005302,2,0,162,0,64,0,129.462723,0.199788,0,0,0,0,0,0,normal
1663634632.175450,1663634637.180695,5.005245,5.005245,5.005245,5.005245,5.005245,4,0,240,0,0,0,287.698181,0.599371,0,0,0,0,0,0,attack
1663634633.879583,1663634638.879554,4.999971,4.999971,4.999971,4.999971,4.999971,4,0,168,0,0,0,201.601166,0.600003,0,0,0,0,0,0,normal
1663634636.887572,1663634636.887988,0.000416,0.000416,0.000416,0.000416,0.000416,1,1,42,60,0,0,0,0,0,0,0,0,0,0,normal
1663634638.200653,1663634643.192564,4.991911,4.991911,4.991911,4.991911,4.991911,4,0,240,0,0,0,288.466675,0.600972,0,0,0,0,0,0,attack
1663634639.431379,1663634642.465106,3.033727,3.033727,3.033727,3.033727,3.033727,4,0,844,0,1,0,1669.234009,0.988883,0,0,0,0,0,0,normal
1663634641.879925,1663634641.879925,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634641.880113,1663634641.880113,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634641.880772,1663634641.880976,0.000204,0.000204,0.000204,0.000204,0.000204,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634641.880810,1663634641.881026,0.000216,0.000216,0.000216,0.000216,0.000216,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634641.881501,1663634646.887179,5.005678,5.005678,5.005678,5.005678,5.005678,2,0,162,0,64,0,129.452988,0.199773,0,0,0,0,0,0,normal
1663634641.881522,1663634646.887279,5.005757,5.005757,5.005757,5.005757,5.005757,2,0,162,0,64,0,129.450958,0.19977,0,0,0,0,0,0,normal
1663634641.881781,1663634646.881956,5.000175,5.000175,5.000175,5.000175,5.000175,4,0,168,0,0,0,201.592941,0.599979,0,0,0,0,0,0,normal
1663634644.216654,1663634649.240622,5.023968,5.023968,5.023968,5.023968,5.023968,4,0,240,0,0,0,286.626007,0.597138,0,0,0,0,0,0,attack
1663634647.879578,1663634652.879601,5.000023,5.000023,5.000023,5.000023,5.000023,4,0,168,0,0,0,201.599075,0.599997,0,0,0,0,0,0,normal
1663634650.871940,1663634653.868049,2.996109,2.996109,2.996109,2.996109,2.996109,3,0,447,0,1,0,795.698669,0.667532,0,0,0,0,0,0,normal
1663634651.881798,1663634651.881798,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634651.881858,1663634651.881858,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634651.882378,1663634651.882513,0.000135,0.000135,0.000135,0.000135,0.000135,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634651.882402,1663634651.882466,0.000064,0.000064,0.000064,0.000064,0.000064,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634651.883082,1663634656.888442,5.005360,5.00536,5.00536,5.00536,5.00536,2,0,148,0,64,0,118.273209,0.199786,0,0,0,0,0,0,normal
1663634651.883120,1663634656.888474,5.005354,5.005354,5.005354,5.005354,5.005354,2,0,148,0,64,0,118.273354,0.199786,0,0,0,0,0,0,normal
1663634652.196794,1663634657.202122,5.005328,5.005328,5.005328,5.005328,5.005328,4,0,240,0,0,0,287.69342,0.599361,0,0,0,0,0,0,attack
1663634653.879569,1663634658.883646,5.004077,5.004077,5.004077,5.004077,5.004077,4,0,168,0,0,0,201.435745,0.599511,0,0,0,0,0,0,normal
1663634657.868314,1663634657.868314,0.000000,0,0,0,0,1,0,149,0,1,0,0,0,0,0,0,0,0,0,normal
1663634658.232561,1663634663.224605,4.992044,4.992044,4.992044,4.992044,4.992044,4,0,240,0,0,0,288.458984,0.600956,0,0,0,0,0,0,attack
1663634658.706601,1663634658.706601,0.000000,0,0,0,0,1,0,87,0,255,0,0,0,0,0,0,0,0,0,normal
1663634658.707826,1663634658.707826,0.000000,0,0,0,0,1,0,107,0,255,0,0,0,0,0,0,0,0,0,normal
1663634661.141652,1663634661.141652,0.000000,0,0,0,0,1,0,167,0,255,0,0,0,0,0,0,0,0,0,normal
1663634661.883389,1663634661.883389,0.000000,0,0,0,0,0,1,0,74,64,64,0,0,0,0,0,0,0,0,normal
1663634661.883579,1663634661.883579,0.000000,0,0,0,0,0,1,0,74,64,64,0,0,0,0,0,0,0,0,normal
1663634661.884058,1663634661.884183,0.000125,0.000125,0.000125,0.000125,0.000125,1,1,84,132,64,64,0,0,0,0,0,0,0,0,normal
1663634661.884084,1663634661.884256,0.000172,0.000172,0.000172,0.000172,0.000172,1,1,84,132,64,64,0,0,0,0,0,0,0,0,normal
1663634661.884782,1663634666.890077,5.005295,5.005295,5.005295,5.005295,5.005295,2,0,162,0,64,0,129.462906,0.199788,0,0,0,0,0,0,normal
